1>曹操 三国时期>①潼关之战>②赤壁之战>③挟天子令诸侯
1>成吉思汗 元朝>①陵墓何在>②铁血柔情>③敬重贤人
1>关羽 三国时期>①忠义千古>②忠义武勇>③骄傲自大
2>汉武帝 汉朝>①后宫之怨>②钩弋夫人>③推恩令
2>皇太极 清朝>①继位之谜>②庄妃下嫁>③驾崩之谜
2>忽必烈 元朝>①储位之争>②讨伐安南>③出征日本
3>霍去病 汉朝>①少年得幸因功贵宠>②贵宠愈盛积习难移>③西汉骁勇
3>姜子牙 周>①遗存遗迹>②为周武王军师，牧野大战，灭商盛周>③杰出的韬略家、军事家与政治家
3>孔子 春秋战国>①儒家学派的创始人>②“世界十大文化名人”之首>③倡导 仁、义、礼、智、信
4>康熙 清朝>①清朝第四位皇帝>②开创出康乾盛世的大局面>③中国历史上在位时间最长的皇帝
4>老子 春秋战国>①伟大的哲学家和思想家>②道家学派创始人>③主张无为而治
4>李世民 唐朝>①唐朝第二位皇帝>②大唐贞观盛世的开创者>③唐朝杰出的政治家、战略家、军事家、诗人
5>刘邦 汉朝>①汉朝开国皇帝>②楚汉争霸最终胜利>③杰出的政治家、卓越的战略家和指挥家
5>刘备 三国时期>①三国时期蜀汉开国皇帝>②三顾茅庐，请诸葛亮辅助>③字玄德，幽州涿郡涿县（今河北省涿州市）人
5>秦始皇 秦朝>①首位完成中国统一的秦王朝的开国皇帝>②古今中外第一个称皇帝的封建王朝君主>③嬴姓，赵氏，名政
6>司马光 宋朝>①“政治家、史学家、文学家”>②编纂了中国历史上第一部编年体通史《资治通鉴》>③司马光砸缸
6>孙权 三国时期>①东吴的建立者>②先后挫败了老资格的政治家曹操和刘备>③字仲谋，吴郡富春（今浙江富阳）人
6>王安石 宋朝>①北宋著名的思想家、政治家、文学家、改革家>②名列“唐宋八大家”>③中国十一世纪的改革家
6>武则天 唐朝>①中国历史上唯一的正统的女皇帝>②治理了一个繁荣昌盛的大周王朝>③死后以皇后身份合葬乾陵，留无字碑
